2017-02-06 15:26:12.5169 | INFO | Task2.JournalPage | Checking if element exists For Authors in jonajournal, its XPath: //a[contains(text(), "For Authors")]
2017-02-06 15:26:12.5429 | INFO | Task2.JournalPage | Checking if element exists Information for Authors in jonajournal, its XPath: //span[contains(text(), "Information for Authors")]
2017-02-06 15:26:12.5689 | INFO | Task2.JournalPage | Checking if element exists For Authors in jonajournal, its XPath: //a[contains(text(), "For Authors")]
2017-02-06 15:26:12.5809 | INFO | Task2.JournalPage | Checking if element exists Language Editing Services in jonajournal, its XPath: //span[contains(text(), "Language Editing Services")]
2017-02-06 15:26:12.6069 | INFO | Task2.JournalPage | Checking if element exists For Authors in jonajournal, its XPath: //a[contains(text(), "For Authors")]
2017-02-06 15:26:12.6179 | INFO | Task2.JournalPage | Checking if element exists Author's Institution Press Release Guidelines in jonajournal, its XPath: //span[contains(text(), "Author's Institution Press Release Guidelines")]
2017-02-06 15:26:12.6449 | INFO | Task2.JournalPage | Checking if element exists Journal Info in jonajournal, its XPath: //a[contains(text(), "Journal Info")]
2017-02-06 15:26:12.6729 | INFO | Task2.JournalPage | Checking if element exists About the Journal in jonajournal, its XPath: //span[contains(text(), "About the Journal")]
2017-02-06 15:26:12.6999 | INFO | Task2.JournalPage | Checking if element exists Journal Info in jonajournal, its XPath: //a[contains(text(), "Journal Info")]
2017-02-06 15:26:12.7099 | INFO | Task2.JournalPage | Checking if element exists Editorial Board in jonajournal, its XPath: //span[contains(text(), "Editorial Board")]
2017-02-06 15:26:12.7459 | INFO | Task2.JournalPage | Checking if element exists Journal Info in jonajournal, its XPath: //a[contains(text(), "Journal Info")]
2017-02-06 15:26:12.7759 | INFO | Task2.JournalPage | Checking if element exists Advertising in jonajournal, its XPath: //span[contains(text(), "Advertising")]
2017-02-06 15:26:12.8049 | INFO | Task2.JournalPage | Checking if element exists Journal Info in jonajournal, its XPath: //a[contains(text(), "Journal Info")]
2017-02-06 15:26:12.8179 | INFO | Task2.JournalPage | Checking if element exists Open Access in jonajournal, its XPath: //span[contains(text(), "Open Access")]
2017-02-06 15:26:12.8489 | INFO | Task2.JournalPage | Checking if element exists Journal Info in jonajournal, its XPath: //a[contains(text(), "Journal Info")]
2017-02-06 15:26:12.8609 | INFO | Task2.JournalPage | Checking if element exists Subscription Services in jonajournal, its XPath: //span[contains(text(), "Subscription Services")]
2017-02-06 15:26:12.8899 | INFO | Task2.JournalPage | Checking if element exists Journal Info in jonajournal, its XPath: //a[contains(text(), "Journal Info")]
2017-02-06 15:26:12.9019 | INFO | Task2.JournalPage | Checking if element exists Reprints in jonajournal, its XPath: //span[contains(text(), "Reprints")]
2017-02-06 15:26:12.9329 | INFO | Task2.JournalPage | Checking if element exists Journal Info in jonajournal, its XPath: //a[contains(text(), "Journal Info")]
2017-02-06 15:26:12.9439 | INFO | Task2.JournalPage | Checking if element exists Rights and Permissions in jonajournal, its XPath: //span[contains(text(), "Rights and Permissions")]
2017-02-06 15:26:13.0089 | DEBUG | Task2.JournalPage | Going to the journal page http://journals.lww.com/jonmd
2017-02-06 15:26:23.3929 | INFO | Task2.JournalPage | Moving to the Login Page
2017-02-06 15:26:23.3929 | INFO | Task2.BaseElement | Clicking on Login Link. Its locator: By.XPath: //a[@id = 'ctl00_ucUserActionsToolbar_lnkLogin']
2017-02-06 15:26:28.8219 | INFO | Task2.BaseElement | Clicking on Login Button on Login Page. Its locator: By.XPath: //input[@value='Login']
2017-02-06 15:26:32.6559 | INFO | Task2.BaseElement | Clicking on Logout Button. Its locator: By.XPath: //a[@id = 'ctl00_ucUserActionsToolbar_lnkLogout']
2017-02-06 15:26:35.3799 | INFO | Task2.JournalPage | Checking if element exists Articles & Issues in jonmd, its XPath: //a[contains(text(), "Articles & Issues")]
2017-02-06 15:26:35.4189 | INFO | Task2.JournalPage | Checking if element exists Current Issue in jonmd, its XPath: //span[contains(text(), "Current Issue")]
2017-02-06 15:26:35.4489 | INFO | Task2.JournalPage | Checking if element exists Articles & Issues in jonmd, its XPath: //a[contains(text(), "Articles & Issues")]
2017-02-06 15:26:35.4489 | INFO | Task2.JournalPage | Checking if element exists Previous Issues in jonmd, its XPath: //span[contains(text(), "Previous Issues")]
2017-02-06 15:26:35.4949 | INFO | Task2.JournalPage | Checking if element exists Articles & Issues in jonmd, its XPath: //a[contains(text(), "Articles & Issues")]
2017-02-06 15:26:35.4949 | INFO | Task2.JournalPage | Checking if element exists Published Ahead-of-Print in jonmd, its XPath: //span[contains(text(), "Published Ahead-of-Print")]
2017-02-06 15:26:35.5319 | INFO | Task2.JournalPage | Checking if element exists For Authors in jonmd, its XPath: //a[contains(text(), "For Authors")]
2017-02-06 15:26:35.5579 | INFO | Task2.JournalPage | Checking if element exists Information for Authors in jonmd, its XPath: //span[contains(text(), "Information for Authors")]
2017-02-06 15:26:35.5829 | INFO | Task2.JournalPage | Checking if element exists For Authors in jonmd, its XPath: //a[contains(text(), "For Authors")]
2017-02-06 15:26:35.5929 | INFO | Task2.JournalPage | Checking if element exists Language Editing Services in jonmd, its XPath: //span[contains(text(), "Language Editing Services")]
2017-02-06 15:26:35.6189 | INFO | Task2.JournalPage | Checking if element exists Journal Info in jonmd, its XPath: //a[contains(text(), "Journal Info")]
2017-02-06 15:26:35.6449 | INFO | Task2.JournalPage | Checking if element exists About the Journal in jonmd, its XPath: //span[contains(text(), "About the Journal")]
2017-02-06 15:26:35.6709 | INFO | Task2.JournalPage | Checking if element exists Journal Info in jonmd, its XPath: //a[contains(text(), "Journal Info")]
2017-02-06 15:26:35.6809 | INFO | Task2.JournalPage | Checking if element exists Editorial Board in jonmd, its XPath: //span[contains(text(), "Editorial Board")]
2017-02-06 15:26:35.7079 | INFO | Task2.JournalPage | Checking if element exists Journal Info in jonmd, its XPath: //a[contains(text(), "Journal Info")]
2017-02-06 15:26:35.7189 | INFO | Task2.JournalPage | Checking if element exists Advertising in jonmd, its XPath: //span[contains(text(), "Advertising")]
2017-02-06 15:26:35.7469 | INFO | Task2.JournalPage | Checking if element exists Journal Info in jonmd, its XPath: //a[contains(text(), "Journal Info")]
2017-02-06 15:26:35.7469 | INFO | Task2.JournalPage | Checking if element exists Open Access in jonmd, its XPath: //span[contains(text(), "Open Access")]
2017-02-06 15:26:35.7829 | INFO | Task2.JournalPage | Checking if element exists Journal Info in jonmd, its XPath: //a[contains(text(), "Journal Info")]
2017-02-06 15:26:35.7929 | INFO | Task2.JournalPage | Checking if element exists Subscription Services in jonmd, its XPath: //span[contains(text(), "Subscription Services")]
2017-02-06 15:26:35.8209 | INFO | Task2.JournalPage | Checking if element exists Journal Info in jonmd, its XPath: //a[contains(text(), "Journal Info")]
2017-02-06 15:26:35.8309 | INFO | Task2.JournalPage | Checking if element exists Reprints in jonmd, its XPath: //span[contains(text(), "Reprints")]
2017-02-06 15:26:35.8579 | INFO | Task2.JournalPage | Checking if element exists Journal Info in jonmd, its XPath: //a[contains(text(), "Journal Info")]
2017-02-06 15:26:35.8679 | INFO | Task2.JournalPage | Checking if element exists Rights and Permissions in jonmd, its XPath: //span[contains(text(), "Rights and Permissions")]
